n_reinas,epochs,best_cost,schedule
60,64610,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 76000, 'updates': 100}"
60,66879,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 79000, 'updates': 100}"
60,67188,0,"{'tmax': 76.0, 'tmin': 0.11, 'steps': 78000, 'updates': 100}"
60,67794,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 78000, 'updates': 100}"
60,70476,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 77000, 'updates': 100}"
61,66974,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 75000, 'updates': 100}"
61,64917,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 76000, 'updates': 100}"
61,71622,0,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 76000, 'updates': 100}"
61,69630,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 75000, 'updates': 100}"
61,63726,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 76000, 'updates': 100}"
62,63998,0,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 73000, 'updates': 100}"
62,59321,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 73000, 'updates': 100}"
62,65058,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 73000, 'updates': 100}"
62,62839,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 73000, 'updates': 100}"
62,62432,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 72000, 'updates': 100}"
63,64931,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 71000, 'updates': 100}"
63,70422,0,"{'tmax': 53.0, 'tmin': 0.11, 'steps': 71000, 'updates': 100}"
63,60572,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 71000, 'updates': 100}"
63,71000,1,"{'tmax': 80.0, 'tmin': 0.073, 'steps': 71000, 'updates': 100}"
63,66822,0,"{'tmax': 54.0, 'tmin': 0.13, 'steps': 71000, 'updates': 100}"
64,58965,0,"{'tmax': 36.0, 'tmin': 0.13, 'steps': 68000, 'updates': 100}"
64,65218,0,"{'tmax': 54.0, 'tmin': 0.087, 'steps': 69000, 'updates': 100}"
64,62748,0,"{'tmax': 56.0, 'tmin': 0.087, 'steps': 70000, 'updates': 100}"
64,59537,0,"{'tmax': 36.0, 'tmin': 0.087, 'steps': 69000, 'updates': 100}"
64,69000,1,"{'tmax': 54.0, 'tmin': 0.058, 'steps': 69000, 'updates': 100}"
65,61442,0,"{'tmax': 56.0, 'tmin': 0.087, 'steps': 67000, 'updates': 100}"
65,64250,0,"{'tmax': 56.0, 'tmin': 0.13, 'steps': 67000, 'updates': 100}"
65,61413,0,"{'tmax': 57.0, 'tmin': 0.087, 'steps': 67000, 'updates': 100}"
65,63243,0,"{'tmax': 82.0, 'tmin': 0.087, 'steps': 67000, 'updates': 100}"
65,61595,0,"{'tmax': 55.0, 'tmin': 0.087, 'steps': 67000, 'updates': 100}"
66,50687,0,"{'tmax': 57.0, 'tmin': 0.058, 'steps': 65000, 'updates': 100}"
66,62005,0,"{'tmax': 38.0, 'tmin': 0.087, 'steps': 65000, 'updates': 100}"
66,61537,0,"{'tmax': 56.0, 'tmin': 0.13, 'steps': 66000, 'updates': 100}"
66,51389,0,"{'tmax': 56.0, 'tmin': 0.058, 'steps': 65000, 'updates': 100}"
66,63902,0,"{'tmax': 38.0, 'tmin': 0.13, 'steps': 65000, 'updates': 100}"
67,63000,1,"{'tmax': 57.0, 'tmin': 0.13, 'steps': 63000, 'updates': 100}"
67,56366,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 63000, 'updates': 100}"
67,56470,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 63000, 'updates': 100}"
67,58910,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 63000, 'updates': 100}"
67,52805,0,"{'tmax': 57.0, 'tmin': 0.058, 'steps': 63000, 'updates': 100}"
68,60893,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 61000, 'updates': 100}"
68,56755,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 62000, 'updates': 100}"
68,54661,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 62000, 'updates': 100}"
68,52528,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 62000, 'updates': 100}"
68,59478,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 62000, 'updates': 100}"
69,57330,0,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 59000, 'updates': 100}"
69,52091,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 60000, 'updates': 100}"
69,55242,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 60000, 'updates': 100}"
69,55096,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 59000, 'updates': 100}"
69,53646,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 60000, 'updates': 100}"
70,52492,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 58000, 'updates': 100}"
70,49650,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 58000, 'updates': 100}"
70,48798,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 58000, 'updates': 100}"
70,50434,0,"{'tmax': 41.0, 'tmin': 0.087, 'steps': 58000, 'updates': 100}"
70,52791,0,"{'tmax': 60.0, 'tmin': 0.087, 'steps': 58000, 'updates': 100}"
71,50902,0,"{'tmax': 60.0, 'tmin': 0.087, 'steps': 56000, 'updates': 100}"
71,53112,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 57000, 'updates': 100}"
71,50805,0,"{'tmax': 62.0, 'tmin': 0.087, 'steps': 56000, 'updates': 100}"
71,47925,0,"{'tmax': 62.0, 'tmin': 0.087, 'steps': 57000, 'updates': 100}"
71,49035,0,"{'tmax': 62.0, 'tmin': 0.058, 'steps': 56000, 'updates': 100}"
72,47836,0,"{'tmax': 62.0, 'tmin': 0.058, 'steps': 55000, 'updates': 100}"
72,49725,0,"{'tmax': 60.0, 'tmin': 0.13, 'steps': 55000, 'updates': 100}"
72,46302,0,"{'tmax': 62.0, 'tmin': 0.058, 'steps': 55000, 'updates': 100}"
72,53581,0,"{'tmax': 62.0, 'tmin': 0.13, 'steps': 55000, 'updates': 100}"
72,49044,0,"{'tmax': 60.0, 'tmin': 0.058, 'steps': 55000, 'updates': 100}"
73,48880,0,"{'tmax': 42.0, 'tmin': 0.1, 'steps': 54000, 'updates': 100}"
73,49021,0,"{'tmax': 60.0, 'tmin': 0.058, 'steps': 54000, 'updates': 100}"
73,47033,0,"{'tmax': 60.0, 'tmin': 0.087, 'steps': 53000, 'updates': 100}"
73,49220,0,"{'tmax': 63.0, 'tmin': 0.1, 'steps': 53000, 'updates': 100}"
73,53000,1,"{'tmax': 93.0, 'tmin': 0.13, 'steps': 53000, 'updates': 100}"
74,45398,0,"{'tmax': 64.0, 'tmin': 0.067, 'steps': 52000, 'updates': 100}"
74,51532,0,"{'tmax': 63.0, 'tmin': 0.15, 'steps': 53000, 'updates': 100}"
74,49318,0,"{'tmax': 44.0, 'tmin': 0.1, 'steps': 52000, 'updates': 100}"
74,48724,0,"{'tmax': 64.0, 'tmin': 0.067, 'steps': 53000, 'updates': 100}"
74,48572,0,"{'tmax': 44.0, 'tmin': 0.1, 'steps': 52000, 'updates': 100}"
75,51000,1,"{'tmax': 64.0, 'tmin': 0.15, 'steps': 51000, 'updates': 100}"
75,43521,0,"{'tmax': 66.0, 'tmin': 0.067, 'steps': 51000, 'updates': 100}"
75,50967,0,"{'tmax': 64.0, 'tmin': 0.1, 'steps': 51000, 'updates': 100}"
75,50237,0,"{'tmax': 44.0, 'tmin': 0.1, 'steps': 51000, 'updates': 100}"
75,44106,0,"{'tmax': 44.0, 'tmin': 0.067, 'steps': 51000, 'updates': 100}"
76,47015,0,"{'tmax': 44.0, 'tmin': 0.067, 'steps': 50000, 'updates': 100}"
76,46438,0,"{'tmax': 66.0, 'tmin': 0.1, 'steps': 50000, 'updates': 100}"
76,46771,0,"{'tmax': 66.0, 'tmin': 0.1, 'steps': 50000, 'updates': 100}"
76,44323,0,"{'tmax': 44.0, 'tmin': 0.1, 'steps': 49000, 'updates': 100}"
76,46366,0,"{'tmax': 66.0, 'tmin': 0.1, 'steps': 50000, 'updates': 100}"
77,41888,0,"{'tmax': 66.0, 'tmin': 0.067, 'steps': 48000, 'updates': 100}"
77,42530,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 49000, 'updates': 100}"
77,39263,0,"{'tmax': 45.0, 'tmin': 0.045, 'steps': 48000, 'updates': 100}"
77,39671,0,"{'tmax': 66.0, 'tmin': 0.045, 'steps': 48000, 'updates': 100}"
77,42688,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 48000, 'updates': 100}"
78,45035,0,"{'tmax': 68.0, 'tmin': 0.067, 'steps': 47000, 'updates': 100}"
78,44059,0,"{'tmax': 68.0, 'tmin': 0.15, 'steps': 47000, 'updates': 100}"
78,43350,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 47000, 'updates': 100}"
78,43157,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 47000, 'updates': 100}"
78,45174,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 47000, 'updates': 100}"
79,44205,0,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 46000, 'updates': 100}"
79,46000,1,"{'tmax': 68.0, 'tmin': 0.1, 'steps': 46000, 'updates': 100}"
79,43198,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 46000, 'updates': 100}"
79,46000,1,"{'tmax': 45.0, 'tmin': 0.067, 'steps': 46000, 'updates': 100}"
79,46000,1,"{'tmax': 68.0, 'tmin': 0.067, 'steps': 46000, 'updates': 100}"
80,40425,0,"{'tmax': 68.0, 'tmin': 0.067, 'steps': 45000, 'updates': 100}"
80,38685,0,"{'tmax': 45.0, 'tmin': 0.045, 'steps': 45000, 'updates': 100}"
80,37250,0,"{'tmax': 45.0, 'tmin': 0.045, 'steps': 45000, 'updates': 100}"
80,38262,0,"{'tmax': 68.0, 'tmin': 0.067, 'steps': 45000, 'updates': 100}"
80,45000,1,"{'tmax': 68.0, 'tmin': 0.067, 'steps': 45000, 'updates': 100}"
81,41984,0,"{'tmax': 75.0, 'tmin': 0.11, 'steps': 44000, 'updates': 100}"
81,44000,1,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 44000, 'updates': 100}"
81,42631,0,"{'tmax': 75.0, 'tmin': 0.073, 'steps': 44000, 'updates': 100}"
81,41138,0,"{'tmax': 45.0, 'tmin': 0.1, 'steps': 44000, 'updates': 100}"
81,39267,0,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 44000, 'updates': 100}"
82,40219,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 43000, 'updates': 100}"
82,36747,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 43000, 'updates': 100}"
82,35479,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 43000, 'updates': 100}"
82,43000,1,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 43000, 'updates': 100}"
82,42474,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 43000, 'updates': 100}"
83,41000,1,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 41000, 'updates': 100}"
83,33406,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 41000, 'updates': 100}"
83,39051,0,"{'tmax': 50.0, 'tmin': 0.033, 'steps': 42000, 'updates': 100}"
83,41037,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 42000, 'updates': 100}"
83,36582,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 42000, 'updates': 100}"
84,38044,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 41000, 'updates': 100}"
84,37234,0,"{'tmax': 75.0, 'tmin': 0.049, 'steps': 41000, 'updates': 100}"
84,41000,1,"{'tmax': 74.0, 'tmin': 0.073, 'steps': 41000, 'updates': 100}"
84,39953,0,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 40000, 'updates': 100}"
84,38071,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 41000, 'updates': 100}"
85,40000,2,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 40000, 'updates': 100}"
85,38269,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 40000, 'updates': 100}"
85,34043,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 40000, 'updates': 100}"
85,33753,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 40000, 'updates': 100}"
85,40000,2,"{'tmax': 50.0, 'tmin': 0.17, 'steps': 40000, 'updates': 100}"
86,38582,0,"{'tmax': 49.0, 'tmin': 0.073, 'steps': 39000, 'updates': 100}"
86,37736,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 39000, 'updates': 100}"
86,31594,0,"{'tmax': 50.0, 'tmin': 0.049, 'steps': 39000, 'updates': 100}"
86,39000,1,"{'tmax': 49.0, 'tmin': 0.17, 'steps': 39000, 'updates': 100}"
86,38505,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 39000, 'updates': 100}"
87,37069,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 38000, 'updates': 100}"
87,37899,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 38000, 'updates': 100}"
87,34598,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 38000, 'updates': 100}"
87,39000,1,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 39000, 'updates': 100}"
87,38000,1,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 38000, 'updates': 100}"
88,35333,0,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 37000, 'updates': 100}"
88,35505,0,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 37000, 'updates': 100}"
88,35351,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 38000, 'updates': 100}"
88,36806,0,"{'tmax': 74.0, 'tmin': 0.11, 'steps': 37000, 'updates': 100}"
88,36734,0,"{'tmax': 50.0, 'tmin': 0.11, 'steps': 37000, 'updates': 100}"
89,36000,1,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
89,33839,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 36000, 'updates': 100}"
89,36000,1,"{'tmax': 50.0, 'tmin': 0.073, 'steps': 36000, 'updates': 100}"
89,34147,0,"{'tmax': 51.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
89,37000,1,"{'tmax': 76.0, 'tmin': 0.073, 'steps': 37000, 'updates': 100}"
90,33807,0,"{'tmax': 80.0, 'tmin': 0.049, 'steps': 36000, 'updates': 100}"
90,36000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
90,36000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
90,35000,3,"{'tmax': 80.0, 'tmin': 0.17, 'steps': 35000, 'updates': 100}"
90,34457,0,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 36000, 'updates': 100}"
91,35000,2,"{'tmax': 78.0, 'tmin': 0.11, 'steps': 35000, 'updates': 100}"
91,30844,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 35000, 'updates': 100}"
91,30322,0,"{'tmax': 52.0, 'tmin': 0.049, 'steps': 35000, 'updates': 100}"
91,35000,1,"{'tmax': 78.0, 'tmin': 0.11, 'steps': 35000, 'updates': 100}"
91,33882,0,"{'tmax': 80.0, 'tmin': 0.11, 'steps': 35000, 'updates': 100}"
92,31192,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,31228,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,34000,1,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,32883,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
92,31405,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
93,33000,3,"{'tmax': 78.0, 'tmin': 0.17, 'steps': 33000, 'updates': 100}"
93,34000,2,"{'tmax': 80.0, 'tmin': 0.11, 'steps': 34000, 'updates': 100}"
93,33000,1,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
93,33211,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
93,31196,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 34000, 'updates': 100}"
94,28882,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,29779,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,33000,1,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,33000,1,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 33000, 'updates': 100}"
94,33000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 33000, 'updates': 100}"
95,30850,0,"{'tmax': 51.0, 'tmin': 0.073, 'steps': 32000, 'updates': 100}"
95,32000,1,"{'tmax': 80.0, 'tmin': 0.11, 'steps': 32000, 'updates': 100}"
95,28716,0,"{'tmax': 80.0, 'tmin': 0.049, 'steps': 32000, 'updates': 100}"
95,30650,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 32000, 'updates': 100}"
95,28404,0,"{'tmax': 52.0, 'tmin': 0.073, 'steps': 32000, 'updates': 100}"
96,32000,1,"{'tmax': 52.0, 'tmin': 0.11, 'steps': 32000, 'updates': 100}"
96,32000,1,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 32000, 'updates': 100}"
96,32000,3,"{'tmax': 87.0, 'tmin': 0.087, 'steps': 32000, 'updates': 100}"
96,32000,1,"{'tmax': 78.0, 'tmin': 0.11, 'steps': 32000, 'updates': 100}"
96,30456,0,"{'tmax': 80.0, 'tmin': 0.049, 'steps': 32000, 'updates': 100}"
97,28885,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 31000, 'updates': 100}"
97,31000,1,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 31000, 'updates': 100}"
97,29005,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 31000, 'updates': 100}"
97,31000,1,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 31000, 'updates': 100}"
97,31000,1,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 31000, 'updates': 100}"
98,30000,1,"{'tmax': 58.0, 'tmin': 0.039, 'steps': 30000, 'updates': 100}"
98,28431,0,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
98,30000,1,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 30000, 'updates': 100}"
98,30000,1,"{'tmax': 87.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
98,27890,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
99,28324,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
99,30000,2,"{'tmax': 58.0, 'tmin': 0.13, 'steps': 30000, 'updates': 100}"
99,29000,1,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 29000, 'updates': 100}"
99,29722,0,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
99,30000,2,"{'tmax': 58.0, 'tmin': 0.087, 'steps': 30000, 'updates': 100}"
100,24359,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 29000, 'updates': 100}"
100,26209,0,"{'tmax': 58.0, 'tmin': 0.039, 'steps': 29000, 'updates': 100}"
100,25132,0,"{'tmax': 39.0, 'tmin': 0.058, 'steps': 29000, 'updates': 100}"
100,29000,1,"{'tmax': 39.0, 'tmin': 0.087, 'steps': 29000, 'updates': 100}"
100,28173,0,"{'tmax': 58.0, 'tmin': 0.058, 'steps': 29000, 'updates': 100}"
